product_id;brand;memory;smartphone_price;smartphone_promo_price;link;model;model_spec
2131181;Emporia;32 GB;229, €;199, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2131181&productName=Emporia Duo Bundel Smart (SuperEasy + IOMI watch)#/category=Smartphones/pageNo=3;Duo Bundel Smart (SuperEasy + IOMI watch);Duo Bundel Smart (SuperEasy + IOMI watch)
2124179;Emporia;32 GB;229, €;199, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2124179&productName=Emporia SuperEasy 32GB 4G - Zwart#/category=Smartphones/pageNo=3;SuperEasy;SuperEasy 4G -
2131081;Motorola;128 GB;599, €;399, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2131081&productName=Motorola Edge 30 Fusion Black#/category=Smartphones/pageNo=1;Edge 30;Edge 30 Fusion
2131080;Motorola;128 GB;399, €;249, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2131080&productName=Motorola Edge 30 Neo 128GB 5G#/category=Smartphones/pageNo=1;Edge 30;Edge 30 Neo 5G
2130986;Motorola;256 GB;899, €;599, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2130986&productName=Motorola Edge 30 Ultra 5G#/category=Smartphones/pageNo=1;Edge 30;Edge 30 Ultra 5G
2130985;Motorola;128 GB;219, €;149, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2130985&productName=Motorola Moto G31 128GB Grey#/category=Smartphones/pageNo=1;Moto G31;Moto G31
2126482;Nokia;128 MB;39, €;35, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2126482&productName=Nokia 110 4G dual SIM Zwart#/category=Smartphones/pageNo=3;110 dual SIM;110 4G dual SIM
3300448;Nokia;128 GB;249, €;179, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300448&productName=Nokia G42 128GB 5G Grijs#/category=Smartphones/pageNo=1;G42;G42 5G
3300308;OnePlus;128 GB;449, €;359, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300308&productName=OnePlus Nord 3 5G#/category=Smartphones/pageNo=1;Nord 3;Nord 3 5G + 80W charger
3300308;OnePlus;256 GB;549, €;399, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300308&productName=OnePlus Nord 3 5G#/category=Smartphones/pageNo=1;Nord 3;Nord 3 5G + 80W charger
3300186;OnePlus;128 GB;329, €;199, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300186&productName=OnePlus CE 3 lite#/category=Smartphones/pageNo=2;CE 3 Lite;CE 3 Lite 5G
3300308;OnePlus;128 GB;449, €;359, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300308&productName=OnePlus Nord 3 5G#/category=Smartphones/pageNo=1;Nord 3;Nord 3 5G + 80W charger
2114186;OnePlus;256 GB;449, €;369, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2114186&productName=OnePlus Nord2 5G#/category=Smartphones/pageNo=3;Nord2;Nord2 5G
2124682;OnePlus;128 GB;249, €;189, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2124682&productName=OnePlus Nord CE 2 Lite 5G EU#/category=Smartphones/pageNo=4;Nord CE 2;Nord CE 2 Lite 5G EU 6
3300001;OnePlus;256 GB;899, €;699, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300001&productName=OnePlus 11 5G#/category=Smartphones/pageNo=2;11;11 5G
3300001;OnePlus;128 GB;829, €;599, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300001&productName=OnePlus 11 5G#/category=Smartphones/pageNo=2;11;11 5G
2126502;OPPO;256 GB;799, €;599, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2126502&productName=OPPO Find X3 Pro 5G + Enco X2#/category=Smartphones/pageNo=4;Find X3;Find X3 Pro 5G + Enco X2
2130680;OPPO;128 GB;219, €;169, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2130680&productName=OPPO A57s 4G Black 128GB#/category=Smartphones/pageNo=3;A57s;A57s 4G
2130582;OPPO;64 GB;179, €;159, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2130582&productName=OPPO A17 4G Black 64GB#/category=Smartphones/pageNo=3;A17;A17 4G
2126483;Samsung;256 GB;1.159, €;959, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2126483&productName=Samsung Galaxy Z FLip4 5G#/category=Smartphones/pageNo=2;Galaxy Z;Galaxy Z Flip4 5G
3300046;Samsung;128 GB;449, €;399, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300046&productName=Samsung Galaxy A54 5G#/category=Smartphones/pageNo=3;Galaxy A54;Galaxy A54 5G
3300044;Samsung;128 GB;349, €;319, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300044&productName=Samsung Galaxy A34 5G#/category=Smartphones/pageNo=3;Galaxy A34;Galaxy A34 5G
